ID{ISBN{SIGLA INVENTARIO{NUMERO INVENTARIO{CODICE{TITOLO{AUTORE{GENERE{EDITORE{EDIZIONE{COLLANA{SCAFFALE{FORMATO{NOTE FORMATO{PAGINE{DATA CATALOGAZIONE{NOVITA{COSTO{PROVENIENZA{LINGUA ORIGINALE{TITOLO ORIGINALE{TRADUTTORE{TESTO FRONTE{LINGUA{NAZIONE{NOTE{ALIENATO{VISIBILE{DATA MODIFICA{ID SOG MODIFICA{ID ALIENAZIONE{ID CATALOGAZIONE{DATA ALIENAZIONE{ID SOG MODIFICA
5000{{P{05000{808.387 ASI{./images/catalogazioni/5000.jpg{Il sole nudo{Asimov Isaac{Gialli - Thriller - Fantascienza{Mondadori{Milano - 1986{Bestsellers{{19,5 x 12,5{{241{2009-08-05{N{6.71{{N{The naket sun{Giuseppe Lippiu{N{{Russia{{N{Y{2017-08-02 00:00:00{0{{{{
5015{{P{05015{813 CRO{	./images/icone/icona-catalogazione.png{La Papessa{Cross Donna Woolfolk{Narrativa americana{Piemme{Casale Monferrato - 1998{{{23,5 x 15,5{{516{2009-09-17{N{8.76{{N{Pope Joan{Susanna Bini{N{{U.S.A.{{N{Y{2017-08-02 00:00:00{0{{{{
5016{{P{05016{916.75 TAY{	./images/icone/icona-catalogazione.png{In Congo{Tayler Jeffrey{Geografia gen. e viaggi d'Africa{Neri Pozza{Vicenza - 2003{Neri Pozza tascabili{{20 x 12,5{{282{2009-09-17{N{8.00{{N{Facing of Congo{Maria Cristina Leardini{N{{{{N{Y{2017-08-02 00:00:00{0{{{{
5017{{P{05017{784 TAK{	./images/icone/icona-catalogazione.png{Take That - La nostra storia{Take That{Voce e musica vocale{Mondadori{Milano - 1996{{{26,5 x 26{{111{2009-09-22{N{14.46{{N{Our greatest hits{Monica Molteni{N{{Inghilterra{{N{Y{2017-08-02 00:00:00{0{{{{
5018{{P{05018{916 EGI{	./images/icone/icona-catalogazione.png{Egitto{Autori Vari{Geografia gen. e viaggi d'Africa{Polaris{Firenze - 2003{Le guide Turisanda{{21 x 13{{284{2009-09-22{N{{{N{{{N{{Italia{{N{Y{2017-08-02 00:00:00{0{{{{
5019{{P{05019{303.49 RIF{	./images/icone/icona-catalogazione.png{Riflessioni sull'orlo dell'Apocalisse{Autori Vari{Processi sociali{Mondadori{Milano - 2006{Piccola biblioteca oscar{{18 x 13{{454{2009-09-22{N{10.80{{N{Conversations on the edge of the Apocalypse{Silvia Rota Sperti{N{{Varie{{N{Y{2017-08-02 00:00:00{0{{{{
5020{{P{05020{854 PAS{	./images/icone/icona-catalogazione.png{Le belle bandiere{Pasolini Pier Paolo{Saggi italiani{L'Unità-Riuniti{Roma - 1977{{{19 x 13{{349{2009-09-22{N{{{N{{{N{{Italia{{N{Y{2017-08-02 00:00:00{0{{{{
5021{{P{05021{854 PAS{	./images/icone/icona-catalogazione.png{Il caos{Pasolini Pier Paolo{Saggi italiani{L'Unità-Riuniti{Roma - 1981{{{19 x 13{{253{2009-09-22{N{{{Y{{{N{{Italia{{N{Y{2017-08-02 00:00:00{0{{{{
5022{{P{05022{828.8 WIL{	./images/icone/icona-catalogazione.png{Autobiografia di un dandy - Scritti inediti{Wilde Oscar{Miscellanea inglese{Mondadori{Milano - 1996{Piccola biblioteca oscar{{16,5 x 11{{188{2009-09-22{N{4.65{{N{The uncolleted Oscar Wilde{Anna Luisa Zazo{N{{Irlanda{{N{Y{2017-08-02 00:00:00{0{{{{
5023{{P{05023{808.387 LEH{	./images/icone/icona-catalogazione.png{Pioggia nera{Lehane Dennis{Gialli - Thriller{Mondolibri{Milano - 2000{{{22 x 14{{460{2009-09-22{N{{{N{Prayers for rain{Dario Fonti{N{{Irlanda{{N{Y{2017-08-02 00:00:00{0{{{{
5024{{P{05024{833 VAN{	./images/icone/icona-catalogazione.png{Le mura di Atene{Vandenberg Philipp{Narrativa tedesca{Piemme{Casale Monferrato - 2004{{{22 x 13,5{{335{2009-10-17{N{17.90{{N{Die hetare{Daniela Idra{N{{Polonia{{N{Y{2017-08-02 00:00:00{0{{{{
5025{{P{05025{853 GUC{	./images/icone/icona-catalogazione.png{Croniche epafaniche{Guccini Francesco{Narrativa italiana{Feltrinelli{Milano - 1989{I narratori/Feltrinelli{{22,5 x 14,5{{179{2009-10-22{N{{{N{{{N{{Italia{{N{Y{2017-08-02 00:00:00{0{{{{
5026{{P{05026{853 MAN{	./images/icone/icona-catalogazione.png{Adamo a Gaeta{Manna Gennaro{Narrativa italiana{Camunia{Milano - 1990{Fantasia & Memoria{{22,5 x 14{{124{2009-10-22{N{9.30{{N{{{N{{Italia{{N{Y{2017-08-02 00:00:00{0{{{{
5027{{P{05027{808.387 LEE{	./images/icone/icona-catalogazione.png{La trappola{Lee Rachel{Gialli - Thriller{Harlequin Mondadori{Milano - 1998{I nuovi bestsellers special{{19 x 12{{375{2009-10-22{N{5.11{{N{Caught{Marina Boagno{N{{U.S.A.{{N{Y{2017-08-02 00:00:00{0{{{{
5028{{P{05028{823 DAR{	./images/icone/icona-catalogazione.png{Veleni{Darcy Emma{Narrativa inglese{Harlequin Mondadori{Milano - 1998{I nuovi bestsellers{{19 x 11,5{{377{2009-10-22{N{4.91{{N{The secrets withim{Marina Boagno{N{{Australia{{N{Y{2017-08-02 00:00:00{0{{{{
5029{{P{05029{853 CEL{	./images/icone/icona-catalogazione.png{Il pianista{Cellucci Silvana{Narrativa italiana{Tabula Fati{Chieti - 2006{Carta da Visita{{16,5 x 12{{127{2009-10-22{N{7.00{{N{{{N{{Italia{{N{Y{2017-08-02 00:00:00{0{{{{
5030{{P{05030{833 HES{	./images/icone/icona-catalogazione.png{Il pellegrinaggio in Oriente{Hesse Hermann{Narrativa tedesca{Adelphi{Milano - 1973{Piccola biblioteca Adelphi{{18 x 10,5{{84{2009-10-22{N{5.16{{N{Die Morgenlandfahrt{Ervino Pocar{N{{Germania{{N{Y{2017-08-02 00:00:00{0{{{{
5031{{P{05031{808.387 CHR{	./images/icone/icona-catalogazione.png{Perchè non l'hanno chiesto a Evans{Christie Agatha{Gialli - Thriller{Mondadori{Milano - 1995{Oscar Gialli{{18,5  x{11{217{2009-10-22{N{2.32{{N{Why didn't they ask Evans{Diana Fonticoli{N{{Inghilterra{{N{Y{2017-08-02 00:00:00{0{{{{
5032{{P{05032{813 RIL{	./images/icone/icona-catalogazione.png{La sfera dell'indovina{Riley Judith Merkle{Narrativa americana{Rizzoli{Milano - 1994{La scala{{22,5 x 14{{394{2009-10-22{N{14.46{{N{The oracle glass{Maria Barbara Piccioli{N{{U.S.A.{{N{Y{2017-08-02 00:00:00{0{{{{
5033{{P{05033{853 ZEC{	./images/icone/icona-catalogazione.png{Amata per caso{Zecchi Stefano{Narrativa italiana{Mondadori{Milano - 2004{I miti{{17,5 z 10,5{{250{2009-10-22{N{4.60{{N{{{N{{Italia{{N{Y{2017-08-02 00:00:00{0{{{{
5034{{P{05034{390.094 SEV{	./images/icone/icona-catalogazione.png{Manuale dell'uomo domestico{Severgnini Beppe{Usi e costumi, galateo, folclore{Rizzoli{Milano - 2002{{{22,5 x 14{{338{2009-11-22{N{16.50{{N{{{N{{Italia{{N{Y{2017-08-02 00:00:00{0{{{{
5035{{P{05035{813 BAC{	./images/icone/icona-catalogazione.png{Uno{Bach Richard{Narrativa americana{Rizzoli{Milano - 1988{{{22 x 16,5{{212{2009-11-22{N{{{N{One{Annita Biasi Conte{N{{U.S.A.{{N{Y{2017-08-02 00:00:00{0{{{{
5036{{P{05036{853 BON{	./images/icone/icona-catalogazione.png{La scacchiera davanti allo specchio{Bontempelli Massimo{Narrativa italiana{Sellerio{Palermo - 1990{La memoria{{17 x 12{{85{2009-11-22{N{5.16{{N{{{N{{Italia{{N{Y{2017-08-02 00:00:00{0{{{{
5037{{P{05037{853 LIA{	./images/icone/icona-catalogazione.png{Lascia che io ti ami{Liala{Narrativa italiana{Sonzogno{Milano - 2002{{{19 x 12,5{{445{2009-11-22{N{5.95{{N{{{N{{Italia{{N{Y{2017-08-02 00:00:00{0{{{{
5038{{P{05038{813 GOR{	./images/icone/icona-catalogazione.png{Il medico di Saragozza{Gordon Noah{Narrativa americana{SuperPocket{Milano - 2002{SuperPocket{{18 x 11{{392{2009-11-22{N{{{N{The last jew{Giorgi Bizzi{N{{U.S.A.{{N{Y{2017-08-02 00:00:00{0{{{{
5039{{P{05039{943.6 PRA{	./images/icone/icona-catalogazione.png{L'imperatrice Elisabetta - La vita di Sissi tra mito e realtà{Praschl-Bichler Gabriele{Storia gen. d'Europa centrale Germania{Mondolibri{Milano - 1997{{{22 x 14,5{{285{2009-11-22{N{{{N{Kaiserin Elisabeth{Umberto Gandini{N{{Austria{{N{Y{2017-08-02 00:00:00{0{{{{
5040{{P{05040{808.387 PAT{	./images/icone/icona-catalogazione.png{L'ombra della giada{Pattison Eliot{Gialli - Thriller{Hobby & Work{Milano - 2002{Mystery pocket{{19,5 x 12,5{{479{2009-11-22{N{6.90{{N{Water tauching stone{Pietro Ferrari{N{{{{N{Y{2017-08-02 00:00:00{0{{{{
5041{{P{05041{853 SAL{	./images/icone/icona-catalogazione.png{Avventure del Corsaro Nero - Il corsaro Nero - La regina dei Caraibi{Salgari Emilio{Narrativa italiana{Nord{Milano - 1990{Narrativa Nord - Classici{{21,5 x 13,5{{584{2009-11-22{N{15.49{{N{{{N{{Italia{{N{Y{2017-08-02 00:00:00{0{{{{
5042{{P{05042{853 TED{	./images/icone/icona-catalogazione.png{Il lupo d'argento{Tedeschi Silvano{Narrativa italiana{Il Libraccio{Genova - 2006{{{21 x 15{{186{2009-12-22{N{13.50{{N{{{N{{Italia{{N{Y{2017-08-02 00:00:00{0{{{{
5043{{P{05043{808.387 CAL{	./images/icone/icona-catalogazione.png{Il codice del quattro{Caldwell Ian - Thomason Dustin{Gialli - Thriller{La Repubblica{Milano - 2005{Codice Mistero - I grandi thriller del passato{{21 x 12{{375{2009-12-22{N{6.90{{N{The rule of four{Isa Vaj{N{{{{N{Y{2017-08-02 00:00:00{0{{{{
5044{{P{05044{808.387 KOO{	./images/icone/icona-catalogazione.png{La notte dei killer{Koontz Dean R.{Gialli - Thriller{Sperling paperback{Milano - 2000{Superbestseller{{19,5 x 12,5{{466{2009-12-22{N{7.75{{N{{Mr. Murder{N{{U.S.A.{{N{Y{2017-08-02 00:00:00{0{{{{
5045{{P{05045{852 CEL{	./images/icone/icona-catalogazione.png{La zattera di Vesalio e altri drammi{Celli Giorgio{Letteratura drammatica italiana{Tre Lune{Mantova - 2007{{{22 x 14{{806{2009-12-22{N{40.00{{N{{{N{{Italia{{N{Y{2017-08-02 00:00:00{0{{{{
5046{{P{05046{813 MIL{	./images/icone/icona-catalogazione.png{Uccello pazzo{Miller Henry{Narrativa americana{Club degli Editori{Milano - 1992{{{21,5 x 14,5{{213{2009-12-22{N{{{N{Crazy cock{Vincenzo Mantovani{N{{U.S.A.{{N{Y{2017-08-02 00:00:00{0{{{{
5047{{P{05047{945.28 BOL{	./images/icone/icona-catalogazione.png{Bollettino storico mantovano - n. 7 - Gennaio-Dicembre 2008{Autori Vari{Storia gen. d'Italia{Provincia di Mantova{Mantova - 2008{{{21 x 15{{298{2009-12-22{N{{{N{{{N{{Italia{{N{Y{2017-08-02 00:00:00{0{{{{
5048{{P{05048{813 SAS{	./images/icone/icona-catalogazione.png{Tradita{Sasson Jean P.{Narrativa americana{Sperling paperback{Milano - 2006{Diritti & Rovesci{{19,5 x 12,5{{315{2009-12-22{N{8.80{{N{Mayada, daughter of Iraq{Gian M. Giughese{N{{U.S.A.{{N{Y{2017-08-02 00:00:00{0{{{{
5049{{P{05049{641.8 USU{	./images/icone/icona-catalogazione.png{Biscotti dolcetti & crostate{Usuelli Catullo{Cibi e bevande{DVE Italia{Milano - 2001{{{24,5 x 17,5{{141{2009-12-22{N{{{N{{{N{{Italia{{N{Y{2017-08-02 00:00:00{0{{{{
5050{{P{05050{R 808.899 RIB{	./images/icone/icona-catalogazione.png{L'elefante e il topo{Ribè Alberto{Letture per elementari{San Paolo{Milano - 2004{Jam - I kiwi{{18 x 16,5{{36{2010-01-20{N{6.00{{N{{{N{{Italia{{N{Y{2017-08-02 00:00:00{0{{{{
5051{{P{05051{R 808.899 SER{	./images/icone/icona-catalogazione.png{Topazio poeta{Serofilli Loretta - Benevelli Alberto{Letture per elementari{San Paolo{Milano - 2004{Jam - Le mele rosse{{18 x 16,5{{34{2010-01-20{N{6.00{{N{{{N{{Italia{{N{Y{2017-08-02 00:00:00{0{{{{
5052{{P{05052{R 808.899 DEB{	./images/icone/icona-catalogazione.png{Gattilene{De Benedetti Paolo{Letture per elementari{San Paolo{Milano - 2003{Jam - I frutti del bosco{{18 x 12,5{{33{2010-01-20{N{5.50{{N{{{N{{Italia{{N{Y{2017-08-02 00:00:00{0{{{{
